name,type,difficulty,titlea,taska,titleb,taskb,titlec,taskc,titled,taskd,costa,rewarda,costb,rewardb,costc,rewardc,costd,rewardd,coste,rewarde,costf,rewardf,costg,rewardg,seasonend,text

"North Oaks","Exploration","1","Searching the Banks","Gray River (Survival)","Clearing Mirror Woods","Mirror Woods (Combat)","The Necromancer's Dark Heart","Musty Tomb (Lore)",,,"08:","+1 xxTIMBER Track","16:","+1 Survival","23:","+1 xxTIMBER Track","30:","+1 Combat","36:","+1 xxTIMBER Track","41:","+1 Lore",,,,"Deep within the oak forest lies an ancient source of evil."
"Sunriders","Alliance","1","Plea for Unity","Song Bluff (Command)","A Great Feast","Hogel Manor (Rapport)","Rumors of Smoke and Fire","Horsethief Meadows (Tactics)",,,"09:","+1 Sunrider Disposition","18:","+1 Tactics","25:","+1 Sunrider Disposition","33:","+1 Combat","38:","+1 Sunrider Disposition",,,,,,"The people of the steppes are a powerful ally in the fight against the Empire."

"Eastkeep","Infiltration","1","Thievery, Disguise, Lore","0: Graycloaks' Discord is 1.","1: Graycloaks' Discord is 1.","2: Graycloaks' Discord is 1.","3: Graycloaks' Discord is 2.","4: Graycloaks' Discord is 3.","5+: +1 Apotheosis.","Mission Path: Rumors of a Frozen Hell.","Rewards: Secrets.","Mission Path: A Possible Ally.","Rewards: Thievery, Disguise.",,,,"Eastkeep is the easiest entry point into the Empire."
"Sightrock","Exploration","2","Command, Survival, Combat",,"1: +1 Discord.","2: +3 Discord.","3: +5 Discord.","4+: +4 Discord and +1 Apotheosis.",,"Mission Path: Journey Under the Rock.","Rewards: Survival, Combat, Lore.","Mission Path: A Spreading Fear.","Rewards: Food Track.",,,,"The verdant fields near Sightrock are full of possibility, but hold a dark secret."
"Gravewood","Alliance","2","Command, Rapport, Thievery",,"1: +1 Discord.","2: +3 Discord.","3: +5 Discord.","4+: +4 Discord and +1 Apotheosis.",,"Mission Path: The Eldest Trapsmith.","Rewards: Gravewood Disposition, Thievery, Secrets.","Mission Path: Entrenched Ideology.","Rewards: Gravewood Disposotion, Lore.",,,,"Fiercely independent and scretive, the woodsfolk understand traps and tricks."
"Guilder Farms","Infiltration","2","Disguise, Command, Lore","0: Graycloaks' Discord is 1.","1: Graycloaks' Discord is 1.","2: Graycloaks' Discord is 1.","3: Graycloaks' Discord is 2.","4: Graycloaks' Discord is 3.","5+: +1 Apotheosis.","Mission Path: The War Machine.","Rewards: Tactics, Lore, Secrets.","Mission Path: A Dark Rot.","Rewards: Luxury Track, Secrets.",,,,"The breadbasket of the Empire, the people of Guilder Farms are not completely contented."

"Gray Forest","Exploration","3","Survival, Combat, Lore, Conquest","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Ore Track.","Mission Path: TBD","Mission Path: TBD","Season End: Unlock Dusk's Ayrie (Mission, Exploration).",
"Prominence","Infiltration","3","Espionage","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Season End: Unlock Southkeep (Mission, Infiltration).",
"Crescent Hold","Alliance","3","Diplomacy","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Crescent Hold Alliance Track","Mission Path: Reward: +1 Crescent Hold Alliance Track","Mission Path: TBD","Season End: Unlock Lily Manor (Mission, Alliance). Unlock Aren's Forge (Mission, Quest).",
"Burgan Vale","Alliance","4","Diplomacy","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Burgan Vale Alliance Track","Mission Path: Reward: +1 Burgan Vale Alliance Track","Mission Path: TBD","Season End: Unlock Thedda's Palimpsest (Mission, Quest).",
"Pelakhar's Loyalty","Quest","3","Combat, Conquest, Survival, Lore, Sorcery","0 Timers: N/A","1 Timer: +1 Discord.","2 Timers: +3 Discord.","3 Timers: +5 Discord.","4 Timers: +5 Discord and +1 Apotheosis.","5 Timers: +1 Apotheosis and Season End.","Mission Path: Seriously? A Dragon? Reward: Unlock Pelakhar Artifact.",,,,

"Ferry's Glenn","Exploration","4","Survival, Command, Military, Conquest","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Mana Track.","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Lily Manor","Alliance","5","Diplomacy","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Lily Manor Alliance Track.","Mission Path: Reward: +1 Lily Manor Alliance Track.","Mission Path: TBD","Season End: Unlock Viator (Charaacter), Unlock Sapphire Djinn (Mission, Quest).",
"Yearly Field","Infiltration","4","Espionage","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Season End: Unlock Dawncaves (Mission, Quest).",
"Gossamer Veil","Quest","3","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Dusk's Ayrie","Exploration","5","Combat, Lore, Burgan Vale, Sorcery, Conquest","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Luxury Track.","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Aren's Forge","Quest","3","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Thedda's Palimpsest","Quest","3","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Sapphire Djinn","Quest","3","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"Southkeep","Infiltration","5","Espionage","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Mission Path: Reward: +1 Secret Track.","Season End: Unlock Firstborn Peak (Mission, Quest).",
"Firstborn Peak","Quest","4","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock TBD.",
"The Dawncaves","Quest","5","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock Lucia (Character).",
"The Council","Quest","4","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock The Sundering (Mission, Quest).",
"The Sundering","Quest","5","TBD","0 Timers: TBD","1 Timer: TBD","2 Timers: TBD","3 Timers: TBD","4 Timers: TBD","5 Timers: TBD","Mission Path: TBD","Mission Path: TBD","Mission Path: TBD","Season End: Unlock The Animaelic Forest (Mission, Quest).",
"The Animaelic Forest","Quest","6","Everything You've Got","Special: Each timer drawn adds +2 discord.","Special: If discord overflows in the animaelic forest, a character in the group is killed, lost in the maelstrom.","Special: If a character is knocked out, they are removed from play.",,,,"Mission Path: ",,,"Season End: If this is the sixth year, Red Bank has fallen. You have lost.",